keyword,location,text
trouble,,""" If trouble was money I swear i'd be a millionaire I said if trouble was money baby I swear i'd be a millionaire I… https://t.co/x11pY21Rao"
displaced,,Over half of the world's refugees are children. Many will spend their entire childhoods away from home. works with partn…
military,Berlin,"""The U.S. military is spending more than $4.5 million to develop facial recognition technology that reads the patte… https://t.co/Z40rNfxMkR"
flood,somewhere in northern Italy,"When the oceans rise and thunders roar, I will soar with You above the storm, Father, You are king over the flood, I will…"
emergency%20plan,Buckinghamshire,A district council trying to scrap its local plan on climate emergency grounds may see its decision-making powers transferred…
detonate,"Rat City, USA","Oh sure, there are always a couple exceptions. Gus &amp; Jones are both super tough, so's Reyes. And I'm sure… https://t.co/cHB4Z5U69K"
wreck,,I have friends.
wildfire,"Bargone di Casarza Lig, Italia","Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency https://t.co/g2TH9TUZQw"
injured,Ohio River Valley,"Iran Protests: 1,500 killed 5,000 Injured 7,000 arrested Reactions: U.N: 0 Resolutions,Urgent Sessions, or Commission…"
weapons,,"〝. . . Did you just call me a whore? Funny, ones like you end up leashe… https://t.co/MBUmoHradR"
fire%20truck,Seoul,"“Soon I’m going to wake up and realize this was all a dream, I’m still in the middle of Parasite and all the equipm… https://t.co/utpEgFlEd7"
pandemonium,"Cochin, India","As u know it, the NRC was just the tip of the iceberg. It depends what it… https://t.co/u8537QyNKC"
casualties,"Nairobi, Kenya",Tanga tanga loyalists have suffered a big blow in the reorganization of government by President Uhuru Kenyatta CS Mwangi…
exploded,⚜,"A hand grenade exploded inside Camp Aguinaldo in Quezon City, hurting a soldier, his wife, and one of their children, t…"
loud%20bang,"Los Angeles, CA",I’m scared some man is screaming like a lunatic outside now I just heard a loud bang in my building. 😬
flood,"Memphis, Tennessee, USA","MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/iCFIL3842g"
attack,germany | 𝟣𝟫𝟢𝟨𝟢𝟩/𝟢𝟪,i tried to go to school today and everything was fine but now i sit outside of the classroom bc my hands started to… https://t.co/JDbcnqrOJH
attacked,,These toxic by9ners dogged the “y’all started this mess” by saying “emang semuanya salah by9 lagi” omg im sorry but we’re never…
curfew,"Aman Chawk, Swabi",This curfew clock in front of Serena Hotel Islamabad is also clock for KP Action in Aid of Civil Power ordinance. B… https://t.co/qRtlVfDqVh
evacuation,,The Taal volcano in the Philippines could violently erupt ‘in the coming hours or days’ prompting evacuation orders for ne…
wounds,Landport,"More people voted to remain, or believed the hype so assumed the vote was a forgone conclusion… https://t.co/60t84RtFkB"
rescuers,,"I just read this article. When rescuing dehydrated Koalas DO NOT pour water in to their mouths, the water goes in t… https://t.co/FRgW4z6rAD"
evacuation,Philippines,"Hello, PH social media! Sorry for loudness, but we need a validated list of evacuation centres + their locations in the…"
heat%20wave,"Alaska, USA","I’m loving this heat wave of 10 degrees in Anchorage, AK. I even drove around with my windows rolled down. Yes, 10… https://t.co/5PWZOeYK4a"
collision,,"A1058 Coast Road, westbound delays and both lanes blocked at St Peters Road #Wallsend due to a two vehicle collision Po…"
flattened,"Chicago, IL",Like he flattened Otto “IKEA manager” Wallin?
body%20bagging,,"@ CherokeeDassX you have a bagging Body!🔛🎯💯💯 ,but your smile &amp; eyes just as bagging ! It's called… https://t.co/H87iI9c8mf"
body%20bags,"Tennessee, USA",Citizens To Gun Grabbing Governor: 'Order Body Bags' https://t.co/vU8JaiQL7W via
engulfed,"Nairobi, Kenya",Kenya especially North Eastern is engulfed by terrorist organisations as Matiangi is busy Campaigning for 2022 ele… https://t.co/ckyOBLhuqo
blight,"Oak Brook, IL",Ask an Expert: Oregon State Extension faculty and Master Gardeners answer questions about… https://t.co/ZN69f2vSok
body%20bag,Dublin,Human remains found in bag in Dublin estate https://t.co/a3AoN9P1Vl via
injured,,"The injury narrative driven by Manchester City fans is absolutely comical. That said, if they didn't ignore the fact that A…"
evacuate,Home is where God's heart is.,"Philippine authorities are warning that a large, dangerous eruption from the Taal volcano may be imminent after a towe…"
bioterror,"Washington, D.C.",Bay Area researchers tackle bioterrorism threats #bioterror #biodefense #cbrn #phep https://t.co/n5exZSQTaU
deluge,,so right after debate deadline there's a deluge of polls showing Yang at 5%...
drowned,"England, United Kingdom","'They get drowned mostly. They get caught on a longline hook and get drowned,"" https://t.co/cGsC0FzgOY #bycatch"
bioterror,Among The Human Race,The dubious efficacy and ill -effects of vaccines are science facts yet the establishment deny this. Enforced vaccinatio…
collision,"South East, England",#M3 Northbound between J12 #Pitmore &amp; J11 #Shawford - the outside lane is blocked due to a traffic collision - Poli… https://t.co/yeF63cumxZ
famine,Lagos Nigeria,#Famine #Jacob #Israel #Joseph #Egypt #Pharaoh #Moses #Redsea #Promisedland🏃🏃🏃
trouble,"London, ON Canada",I am not allowed to refollow because Twitter says I'm maxed so I am going thru all my followers and remove the ones that loo…
screams,,"Q: ""One Direction's 2015 visit to Dubai's [.....] Do u have any memories of that gig? A: ""it's hard for me to remem… https://t.co/Upu2xJqIxg"
ambulance,Everywhere,"Jinu : Are you okay? You hit your head and fainted, do you remember anything? Yoon : Only the ambulance ride to the hospi…"
crash,Everywhere,"#Iran, grappling with unrest over the Ukrainian plane crash, warns protesters it will do everything necessary to protect the p…"
derailed,"Deoband, Uttar Pradesh",She looks so mentally derailed
derail,A tiny place in the universe,😂 she was a prostitute and possibly a soviet spy who scamm…
crush,Nigeria Worldwide,What were you told about guys with good heart? (Pick your crush wisely 😊) https://t.co/RbDcjJX5Sj
survivors,"Bengaluru, India",Girls like spend 400 on a movie &amp; share on Twitter ! Boys donate 4000 to Bharat ke veer for Ind…
stretcher,The Fort,That's exactly what you do if the stretcher not coming out
death,Australia,Sorry I usually try to keep it PG but after the veritable cornucopia of lies Trump has told America about the life-or-dea…
blew%20up,,Gonna be fun when we discover in about 10-15 years that we blew all of our ability to restrain corporate abuses through…
aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…
inundation,Australia,"Add sea level n inundation, with 80% of the world's people living in towns n cities sited on coastal estu…"
seismic,"Atlanta, GA",#NowPlaying on #CollegeUndergroundRadio Seismic Anamoly - O.M.G.
thunderstorm,"Atlanta, GA",WEATHER ALERT: Severe Thunderstorm Warning continues for La Grange NC until 3:00 PM EST https://t.co/7qBluBSFZ8
trapped,,She's trying to trap him with her drama like she trapped you by voting to save you during eviction.… https://t.co/qYBFAVVMU9
bleeding,,I wonder who’s Rick or Ricky because that dude is bleeding!!!
bioterrorism,MX-TX-TN-CA-MI-IN-GA,"Similarly, there are lots of different disasters including epidemics, natural disasters, wars, bioterrorism, and we… https://t.co/NRP53sUN5C"
evacuated,,"POGROM IN UMAN OVER SHABBOS: Ukrainian Thugs Attack Jews, 4 Evacuated To Hospitals https://t.co/0rpjWbD9oU"
fire,Philippines,"The Pacific Ring of Fire is now active! 😭 In a matter of 24 hours, 3 volcanoes within Pacific Ring of Fire were erupted:…"
attacked,,"The police recording brutally arrested a Muslim man in #Accrington, even though the Muslim man had volunteered ... but t…"
fatality,She/Her,Does being on here and not mean that NickC is better than Fatality? D: https://t.co/0ekRxUlcw2
fatality,South London,#Battersea #fatality https://t.co/LswfzRAKKB
attacked,India,I thought I'll get attacked by some people for saying this 😅
collide,,"When stars collide, they give you: https://t.co/oKybAIc12s"
collapse,Bailiwick of Jersey,"There are other reasons why the employment market could collapse, which are worth bearing in mind of course."
annihilated,UK,"Polls mean shit all Hugh, they were wrong, massively, we have effectively now had 3 votes, leave won… https://t.co/EpTuVM6j5q"
drowning,♡'s pearl🌙,ⓜ i’m drowning in you https://t.co/RGS48RXTlu
tragedy,,It took a Bhopal gas tragedy to create a new cadre of Insp of Factories(Chemical)[SK Chudhary V Tapas 1995] Hope a MAJOR RAI…
seismic,"Vancouver, British Columbia","How can scientists assess hazards when urbanization hides faults? Scientists in San Diego address this in Geosphere, an op…"
injury,"North Carolina, USA",The little girl suffered a brain hemorrhage from a nonaccidental traumatic head injury. https://t.co/ezQgMOYhZo
loud%20bang,skam + awae,turns out mr bang chan did his stalking and literally knows my twitter account... almost had a heart attack when he said th…
hellfire,,Excuse you. Sandalphon Fell because YOUR security in Heaven was lax… https://t.co/nrQU37m4Si
detonate,"Chicago, IL",A good analogy would be plastic Explosive (Psychotronic Fuel) to detonate an A bomb (Total Demon Shredder to detona… https://t.co/ISjjygHUnU
wreckage,"Kentucky, USAhttps:",My piece tonight on why Christopher Wray isn’t the right man for the big—and necessary—job of reforming the FBI. “Rather…
drown,"Eugene, OR",You ever lay in bed but it feel like you laying on a small iceberg only big enough for 1-2 people floating in the empty ocea…
explosion,Valenzuela,President Duterte on visiting areas affected by Taal Volcano explosion: Kainin ko pa yang ash fall na ya…
ruin,,Just remember... Don’t let a few minutes of sadness ruin a whole day of happiness. 🤍
suicide%20bombing,,There is no mention in the quran of 77 virgins. And the co… https://t.co/fBzkF1wwhB
flood,,everyone please flood LYSN with lots of support messages 🥺🥺 I didn’t expect to wake up with more hate messages from kfans…
bioterror,Cornwall,The dubious efficacy and ill -effects of vaccines are science facts yet the establishment deny this. Enforced vacci… https://t.co/ikAiKQVgXs
dead,Does It Matter,Stop killing people with your fake vaccines #vaccineskill. Was vaccinated and caught chicken pox 2 times my… https://t.co/qDoWswO3Ck
hurricane,,#onthisday in 1947 No. 6 Squadron undertakes the RAF's last sortie by a Hawker Hurricane. Find out more at https://t.c…
sunk,,This is how low has sunk. https://t.co/LqzhBEZsd9
inundated,London,Using to keep the mark is not actively commercialising otherwise we'd be inu… https://t.co/aHm6eKruYG
inundation,"London, England",Another seawall collapses due to wave climate vulnerability - this time in Carrickfergus - near my hometown. Wave… https://t.co/h174N6uyeF
nuclear%20disaster,"Gurgaon, India","Nine years after “Fukushima” became synonymous with nuclear disaster, the area will help kick off the 2020 Summer O… https://t.co/BTKmuQpFm1"
hazardous,,Masks should be prepared if you don't want to face hazardous circumstances.
flood,"Oxford, MS","MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/hfkRWBRr9c"
crash,SLC,I hope this causes Bernie to crash and bern. So sick of it! https://t.co/A…
ablaze,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…
panicking,"Pinang, Malaysia",a panicking lan wangji is caught by his cute freckle faced crush librarian wei ying when he's hiding between some bookshe…
dust%20storm,,"Just ran into Nano after a dust storm. They said to watch out, as they heard there's a Hulking Corpse Fly in the garage."
battle,"Beloit, Wi Porter Ave.",UPHILL BATTLE LLC
snowstorm,,The game between the Minnesota Vikings and the Seattle Seahawks was canceled due to snowstorm.
flattened,"Regina, Sk",it was against the Jets ..Adam Lowry flattened Fleurey
devastated,,"Nick Lake, 39, who works [in] property development... uses Flybe at least once a week to fly between Manchester and… https://t.co/2uJsPxApId"
debris,"Georgia, USA",The sweet relief of rain after bushfires threaten disaster for our rivers Fire debris flowing into the Murray-Darling Basin w…
eyewitness,"Michigan, USA",New eyewitness has stepped forward to testify. https://t.co/BiQElyoHIm
natural%20disaster,causeway bay,anyone who says that the volcanic eruption was ✨aEStHeTiC ✨ go fuck yourself. wag na wag niyo din sasabihin wE fAil… https://t.co/S9U6rFU7SS
casualty,"Nairobi, Kenya",first locust casualty in 2020. #UhuruAddress
hellfire,"South Dublin, Ireland",“Nature is not a place to visit. It is home.” Gary Snyder #TuesdayThoughts #Hellfire #Sundowns #Nature #Wildlife… https://t.co/2MbwLZopTN
forest%20fire,,ISIS has been using odd weapons - asked its terrorists to use vehicles. The use of these unconventional weapons or… https://t.co/wMWV6hUZxN
bombing,,"Nasrallah: ""America built ISIS to destroy our countries, our cultures, history, and our future. Every ISIS bombing again…"
bioterror,United States of⚡️🧠+#Trump5G,... #MAGA5G.LiVEViL+ my recommended read not for the weak of mind: The #Mossad+#5G Strain: Viral Vengeance:… https://t.co/Tm0JIqragB
mass%20murder,United Kingdom,"Many Iranian stars, sports and journalists break ranks to denounce the regime’s lying and cynicism in protest at downing o…"
evacuation,𝒇𝒓𝒂𝒏𝒄𝒐,Psychologists are also needed in evacuation areas for the conduct of psychological first aid
dead,Canada,YOOOOOOOO WTF 😭 she pretended she was dead in the middle of the fight?! never seen that one before 🤣🤣 https://t.co/oJqojps…
weapons,,I don't recall United States financing fall of Norway's democratically elected pr…
military,Egypt,Mubarak really cared about the air force but he had a clear policy: Zero for weapons. All procurement… https://t.co/bG7TVPjJQP
natural%20disaster,"New York, USA","My only goal this year is to have a storm named after me or, at least, some type of natural disaster."
detonate,,Y’all ever play against a champ with a remote detonate clone that instantly fears and 1-shots?
burned,,LSU are national chaEmpions. 4 years of Saint James bro. Did Joel Ellis not teach you anything? Hope… https://t.co/9HyglXd5h1
earthquake,4,#EarthquakePH #EarthquakeCavite Earthquake Information No.1 Date and Time: 14 Jan 2020 - 04:13 PM Magnitude = 2.0 Depth…
nuclear%20reactor,"Bangalore , India","Mount Kailas Nuclear Reactor, revealed by Russian Scientists - Mysteries https://t.co/9iNPaDOj5e"
volcano,,"Taal volcano eruption, Philippines https://t.co/MY83HYMs5M"
suicide%20bomb,,"Very cool that Elizabeth Warren decided to suicide bomb leftist politics, this should go very well !"
hostage,"London, England",There are some comparing them to the hostage takers in Dembi Dolo.
injuries,London,"The A&amp;Es at Queen Elizabeth Hospital and University Hospital Lewisham are very busy today. Remember, A&amp;E is for serious, life-…"
engulfed,"Tupelo, MS",I’m here on Hwy 278 near Thaxton where a home is completely engulfed in flames... Thaxton and Pontotoc emergency crews are…
flattened,"Missouri, USA",bread-foccacia (made of dough flattened and then olive oil spread on top with rosemary and grey salt sprinkled cook… https://t.co/givUyvOwjq
blew%20up,"Lagos, Nigeria",Terry G blew up without controversies and in an era that social media wasn’t this engaging. Naira has Efcc and social media…
tragedy,,"Batangueños did the same. Agoncillo, Laurel, Talisay lakeshore communities. Many residents there are fishermen and vendors…"
thunder,Indonesia,#YUNHO: 건배하자 like a thunder https://t.co/7TP9AokSd7
casualty,India,"In year 2019 , record of no casualty due to railway accident . If this epitome can be achieved with present system .Then…"
collided,"Paris, Cannes, France",Sgt. David Edward Lloyd. One of THE FEW. https://t.co/njHwA4c6jd Killed when he collided with another Spitfire over Hayes. He…
trapped,"Fremont, CA",Dan Goodin:'Exploit that gives remote access affects ~200 million cable modems': https://t.co/5XaIBf9R74 Cable Haun… https://t.co/66Gn0S33AJ
thunderstorm,"Atlanta, GA","WEATHER ALERT: Severe Thunderstorm Warning including Goldsboro NC, Mount Olive NC, Elroy NC until 3:15 PM EST https://t.co/gEM9p78C2c"
crashed,somewhere in Estonia,The women were doing a left turn when the guy crashed into them coming from behind. He was speeding about 140 km/h… https://t.co/m3DPHJKxOc
lightning,pisces,Taal Volcano Eruption Lightning streak. https://t.co/57mNPt6XR3
rescuers,"Manila, Philippines",*people rescue horses from Taal* *vet providing medical attention to the horses* Facebook: thank you lord! Resc… https://t.co/mO5UIBBTMw
casualty,"Dundee, UK",Fears department store Beales could be ‘latest casualty’ of Perth’s retail sector https://t.co/l6UKimcDMl https://t.co/3gc8QehSbS
destroy,Australia,#Siemens now joins the #ClimateCriminals by helping open up massive coal pits t…
annihilated,"Ottawa, Ontario, Canada",Piers Morgan Annihilated With Simple Logic https://t.co/rClWbc7F9l
blight,,It isn’t. Racism is a sad fact of life. Your difference will be exploited by ignora… https://t.co/vvnyxUuqdj
flood,lagos,"When you open the door to self pity , to blame, all kinds of negative thoughts will flood your mind"
hellfire,Kolkata,Probably to stop our neighbours from occupying them. Not sure though..
annihilation,日本,🇺🇸 5 x US Navy E-6Bs airborne Probably nothing... Or imminent global annihilation. 🤷‍♂️ https://t.co/T7ILcJvh7o
collide,,"Sex, Violence and Self-Discovery Collide in the Incandescent ‘Cleanness’ https://t.co/OqnQ4Y5ofQ #books #books… https://t.co/pc6WPalB2i"
sandstorm,None ya,Sandstorm Cryptid Raihan wants to battle! https://t.co/owL91gXnhg
sandstorm,,Darude on the outside Sandstorm on the inside
obliterate,,Saint Bernie of the Perpetually Peturbed. Place a crown of thorns upon his blessed nog… https://t.co/ci31O0d52H
arson,,Emergency Services Commissioner Andrew Crisp says most Victorian fires started by lightening. Not aware of any police…
wild%20fires,Canada,I’m not sure why this concept is so hard for some people to understand. Isis directs terrorists to use wild/forest fire…
quarantined,,Chinese woman quarantined in Thailand is diagnosed with same mystery virus that has killed one person and infected dozens i…
evacuate,tdg•bhl,"PLEASE BRING YOUR PETS WHEN YOU EVACUATE, THEY NEED A SAFE PLACE TOO!"
lightning,India,Lightning Network speeds up Bitcoin transactions with off-chain channels between nodes. 🔥 These are later committed to the…
electrocute,,Teen vouge started the made up rumor turned meme that Mike Pence wants to electrocute gay… https://t.co/50Dh1gMk5G
blood,"Stockholm, Sverige","Relatives of the war criminal (Shohrat zakir )are attacking their opponents in the streets illegal, thi… https://t.co/ed9v43x35I"
arson,Nazi Germany,200 people were arrested for arson 😂
displaced,"Beirut, Lebanon",Localism changes this. If you lived in a voluntary community that you chose because of the people who lived there. Develop…
mass%20murder,Marching Home,. Kiev &amp; Ottawa should cooperate for the physical elimination of this evil Mullah soon is a success le… https://t.co/GIPmA7TRPX
heat%20wave,Mount Holly,Linda Ronstadt - Heat Wave
hijacker,"East, England","When filling in the form, try to use details that you did not give to the hijacker. I'm afr… https://t.co/EwcE0MwyDj"
flood,Islamic Republic of Iran,Iran is in a real chaos these days and bad news comes every day todays: Flood in Sistan &amp; Baluchestan And as usual… https://t.co/LJBjriY99k
body%20bags,Toronto,No they wont... because the area is sealed off so that fascist can murder resisters at will now.… https://t.co/yzklTg6dDy
screams,bucheon,MAY MANS THE BLUSH THE LIPS EVERYTHING SCREAMS PERFECTION
inundation,"Lilburn, GA",do everyday Iowans despise their caucus date or enjoy it? I get the prestige of going first or whatever (I guess) but the…
burned,Somewhere,"ᴏʀᴘʜᴀɴs... ᴛʜᴇʏ'ʀᴇ ɴᴏᴛ ᴍɪssᴇᴅ ʙʏ ᴀɴʏʙᴏᴅʏ ☆ august ""auggie"" winters, number 28 ☆ government created assassin and espi…"
attack,"London, England","I’m deeply troubled by the news of violent attack on individuals and properties at Bhainsa, Telangana. Such actions are…"
casualty,"Greenwich, England","First print review of The Rediscovery of Tobacco in : ""The anti-smoking establishment's generally hostile reaction t…"
inundation,Singapore,"the info, the thoughts, suffering, images, it's such an unholy inundation of misery. the world is a living, writhing nigh…"
stretcher,"England, United Kingdom",Our Topaz bathing transfer stretcher makes the bathing experience more efficient and comfortable. The stretcher has… https://t.co/bpKVD946nx
attacked,"Glasgow, Scotland","Solidarity with , a long-time fierce warrior for women's rights around the globe, who's now being attacked by…"
mayhem,"Dobsonville, Soweto ",Lerata attention hle
emergency,,User Deals: Wise Company Emergency Food Supplies Sale: Up to 46% off https://t.co/OP7YMuVvg0 #owldeals #bargains #coupon #blackfriday
bombing,"Essendon, Melbourne, Australia",What I keep wondering. Would these bushfires have been so severe and unputoutable if we'd had more water bombing aircraft…
bush%20fires,,was concerned that every time a question would be ask about the Bush Fires Morr… https://t.co/lVOBB0M5ax
rescuers,gillingham,"One day, when the bear is older and bigger, he will remember his kind rescuers and save them from peril. I like to thi…"
natural%20disaster,Canberra,Kind wishes to the badly flood-struck people of #Sistan and #Baluchistan provinces of #Iran. We are experie… https://t.co/oO4WDuClX8
fatalities,,Road Fatalities: An Emerging Public Health Crisis In India https://t.co/imwS7XLbIB
wounded,,i'm wounded but i will persevere... for Them......
emergency,,Australia is in the frontline of the Climate Emergency and the world is looking to us to be in the forefront of climat…
emergency,USA,well it happened.....i just got a letter from my local munincipal court showing i owe $950 in total fines and if i dont p…
death,France,death: hey me: https://t.co/RamTEDXd2D
weapon,Nigeria,"Lord Jesus, I hand over into your hands. Keep evil far away from her . Surround her with your hedge of p…"
panicking,"Cebu City, Central Visayas",F: *sees in her peripheral vision* omigod omigod she is gonna share the bed with me but I want that tall hot yummy Kiwi inst…
rescue,"Formerly FATA, Balochistan via Karachi, and definitely Pakistan",At least fifty-seven people have been reported dead in an avalanche in Neelum Valley. The operation to rescue other… https://t.co/RBp0M0KQ3C
explosion,,"btw what the heck happened s an explosion box , baby don’t kill me 😂"
attack,United States,"In one week, I watched democrats... Attack a man who stopped a church shooting. Mourn over an Iranian terrorist. Blam…"
wreckage,"Maryland, USA",A team of scientists from were able to image some #WWII aircraft at the bottom of the Pacific. A great example…
harm,대한민국 서울,"( I'm seeking for someone who want to be my older brother, he's the one I trust in family. He's also… https://t.co/y5zMA7TVAO"
mass%20murderer,"Orange County, CA",imagine if the leader of your country was a mass murderer who openly boasted &amp; gloated about his crimes on twitter &amp; threate…
flooding,"Hobart, Tasmania","I was having a shit day. Then I saw ""Good grief, the comedian's a bear!"" for the f… https://t.co/mGXdwbBTLM"
thunderstorm,"Sioux Falls, SD","NWSSevereTstorm Severe Thunderstorm Warning including Clinton NC, Mount Olive NC, Elroy NC until 3:00 AM EST https://t.co/VJQaHOk2A6"
armageddon,Nigeria,"[Music] DJ Joenel – Armageddon Ft. Ajebo Hustlers, Dr Barz &amp; Dan Dizzy https://t.co/w9VTUBqHOE"
police,"Lahore, Pakistan",Did you report to the police?🤪
collide,"Paignton, Devon",When cultures collide! #southernspain https://t.co/ML6xGKuGk5
trapped,,Too much hf longs trapped. Likely overreaction again ))
fatality,,"[Shang Tsung(MK2)] Kintaro Morph Fatality:(Hold LP)30Sec,(Release LP) (1 Sweep)"
rubble,"Brussels, Belgium",#AJE US troops clear rubble from Iraq base days after Iran strike https://t.co/h0YjxsBrM8 #Iraq
drought,THAILAND,Agriculture Minister has ordered subordinates to come up with measures to protect consumers from the prices of farm pro…
bomb,,I will
deluge,,The #insurance sector has seen a deluge of disruption (from multiple directions). Which model shows the most promis… https://t.co/kc79XwiQe2
bombed,,Wait until Iran get bombed to the ground. God bless Trump.
hijack,Australia,Tesla hacking competition offers $1 million and free car if someone can hijack Model 3 https://t.co/LsZvDLHrxd
tragedy,,"I used to think the oscars were a tragedy, but now i realise it's a comedy"
damage,"Brussels, Belgium",The EU 🇪🇺activates Copernicus 🛰 service for the production of free maps to contribute to damage assessment resulting from 🌋…
mass%20murder,Marching Home,. If Ottawa* is brave enough to eliminate the Mullah pursuant to this Mass Murder carried under his e… https://t.co/KNnOXAitgZ
volcano,,The Makati Science High School SSG will be accepting cash and in-kind donations for the evacuees of the Taal Volcano eruptio…
hurricane,Brussels oder so,this picture - hurricane festival (2004) https://t.co/GgOxNJbJvH
refugees,,Opinion: She moved to Texas for safety. Now the state wants to keep out refugees like her. https://t.co/Z6xta17yGB
wildfire,"Cloudsdale,Equestria Zone",Call of Duty: Modern Warfare's Outback Pack profits will be used for Australian wildfire relief https://t.co/uck7uVqAcL https:…
collapsed,"Brooklyn, NY / Newark, DE","I mean, Chavez is at fault for a lot. Many of those reforms were based on a government funded entirely b… https://t.co/3hLnamxbt4"
threat,"Fayetteville, NC","Bongino says Soleimani 'having a pulse' was an imminent threat, blasts 'shameful' media coverage on Iran https://t.co/LtkLk5WLJ0 #FoxNews"
injury,"Los Angeles, Ca",OLIVE IS FRIENDLY BUT TENTATIVE - maybe because she has a leg injury and is in pain? These people who seem to know noth…
hijacking,"Mumbai, India",That's called hijacking :)))
blown%20up,,So there’s like a 4.1% chance of being blown up lmaoooo so I get the gamble but really you’ll just ha… https://t.co/pDBkMcXc4E
demolition,Port Harcourt,#MorningCrossfire: Demolition Of Buildings For Flyover Construction . Mobil filling station at garrison rejected t… https://t.co/eHoKcVWdRe
curfew,Kajiado,"If it was Uhuru Kenyatta's or Raila Odinga's daughter or son killed in Garissa, it would be under curfew and crawling wi…"
crash,Nor CA,"Iranian authorities warned protesters not to stage further antigovernment demonstrations, as a video appeared to show security…"
hellfire,𝕴𝖓𝖉𝖎𝖆,Not the one
violent%20storm,"Dublin, Ireland","21,000 Homes Without Power As Storm Brendan Brings Violent Gusts - https://t.co/3CPXdRWc5l https://t.co/sESH6GF2Ie"
panic,Philippines,GOT YOUR GIRL ON PANIC https://t.co/CivS2qywzI
natural%20disaster,,Hey Anne Jesus was not a refugee (a person who has been forced to leave their country in order to… https://t.co/0gKjG4OyGM
pandemonium,"Maseru,Lesotho",See what I mean??? 😂😂😂😂moist !!
survive,,How a common man can survive in these inflation and mehngai...look at the prices of products ...price of gold ..how… https://t.co/a4udGszJWB
drought,instagram:naseharusli,Remember last year when we're in Jihyo drought then suddenly Jihyo showed up on Momo's vlive looking like the cutest huma…
screaming,New York,Why I’m screaming right now
flood,"Pontianak, Kalimantan Barat.",1 week into 2020: 1. Flood in Jkt 2. Fire in Australia 3. WW3 madness and now... Reynhard Sinaga Damn...2020 needs to ch…
eyewitness,,please hear us!! #WeWantEyewitnessSeason2
cliff%20fall,In my closet,What do you do when you're a piece of shit and everyone thinks you're a piece of shit too? Do you just fall off a cliff and die? 🤷
cliff%20fall,"Sydney, Australia",Time will tell when I fall off a cliff or high building
annihilated,,A devastating and thorough refutation of and Ned Flanders' stream where they annihilated orthodox straw men…
bioterrorism,,hachi-san88: Leon and Claire. They fight bioterrorism and have busy days. That’s why they value the time they spend… https://t.co/hcjq3VatR2
crush,"Cape Town, South Africa",Does anyone have a friend crush on ateez like.... you just want to be their friend and hang out and go for lunch or something
deaths,,The definition doesn't say there should be deaths in order for it to be a tragedy. But deaths often do occur be…
tragedy,Lanson,. : “The great tragedy of the #climatecrisis is that seven and a half billion people must pay the price – i…
smoke,Bransterdam,Love Island was better when the where allowed to smoke fags
deluge,House Tyrell of Highgarden,APP TO???? OR WEBSITE??? OMG I STILL REMEMBER POKEMON DELUGE CIRCA 2010
battle,,"Julian Assange's case affects ALL OF US. Our ability to know about and act against state and corporate malfeasance, our…"
fire%20truck,Yorkshire and The Humber,A Scania L-series low-entry fire truck for city rescues https://t.co/r5LFCpVDwR #ScaniaTrucks
demolish,London / World,A new year’s resolution for architects: never demolish: The case for ... never demolishing another building… https://t.co/taGthWgvUd
attacked,iKONIC and ARMY,feeling attacked right now https://t.co/x59FZGR1Jb
tornado,singapore,Indoor tornado 🌪 https://t.co/LZZdNYstbi
bridge%20collapse,,Interesting that a photo of the Mianus River Bridge collapse was used. It collapsed in 1983 when the…
accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw
attacked,"Bangalore, Karnataka, India",🔻 GDP % at 6 yr low 🔺 Inflation at 6 yr high 🔻 Nominal GDP% at 45 yr low 🔺 Unemployment at 45 yr high 🔺 Petrol @ 80 🔺 Oni…
war%20zone,"Chicago, IL",War Zone [prod. By Legacy] https://t.co/pwUCnqpkDE
tsunami,"Antioch, CA",2am at a Denny’s / ihop be like this
hail,,This is exactly why women loathe being reviewed. What a way to really break down a womans body &amp; highlight our insecuritie…
thunderstorm,,SEVERE WEATHER OUTLOOK rest of the night Get Radar maps at https://t.co/CzaAX16Vwa #wx #news #weather #hail #winds…
danger,,"With William Barr, Opus Dei comes to Washington. The danger is clear. Will we heed the message? ""Last October, Attorney Gener…"
snowstorm,"Olympia, Washington State",The great snowstorm of 2020 didn’t materialize overnight in the Olympia area as it did in other parts of Puget Soun… https://t.co/SG3DzWEviG
oil%20spill,Nomad,#SSOT We been crying 4 innocent citizens who r being subjected 2 careless leakage. Careless oil companies look at ur work. Thi…
police,,"""We will make your wife a prostitute, we will place her somewhere),” the police allegedly told activist Robin Verma. “They…"
bush%20fires,"Queensland, Australia",Video About Australian Bush Fires Has Been Up For A While! Give It Some Love! 💗🙏 #fightthefires https://t.co/bEUByX129H
fear,Northeast,Priti Patel is great. Points based immigration. Criminals to fear committing crimes. XR a terrorist organisation. Meghan not…
